pgpid,type,tags,description
3826,Letter,,"Letter fragment (lower part only). In Judaeo-Arabic. Concerning administration of a legal affair. The sender reports that Abū l-Ḥasan b. Ayyūb, who owned property on Zuqāq al-Lawwāzīn, requested the transfer of his property, including future purchases and sales, to his sister before his death. The sender asks the addressee to do what is required by Jewish law and protect the rights of the widow and the orphan. In a postscript, the sender adds that Umm Abū l-Ḥasan took nothing from the estate of her brother, excepting the value of half of a robe which she had deposited with him. (Information in part from Goitein's index cards.) EMS"
3827,Letter,,Letter from a person who asks for a loan to pay his capitation tax.
3828,Letter,,"Letter from Moshe b. Yefet to Avraham referring to a visit of the addressee to the sender and mentioning lodging for travelers on the top floor of a synagogue. The letter ends with a religious formula in Hebrew including a quote from the Bible. (Information from Mediterranean Society, IV, p. 76)"
3829,Letter,,"Letter referring to the arrival of a third person called Sa'id b. Moshe who received something from the sender and brought something with him. Ends with greetings for family of the addressee ('the young and the old, sons and daughters')."
3830,Letter,,Beginning of a letter in which the sender conveys knowledge about his own situation and writes that he needs something.
3831,Letter,,"Beginning of a letter to an unidentified scholar. On the verso there is some writing in large Arabic script, but unrelated to text on verso."
3832,Letter,,Beginning of a letter addressing the Nagid Avraham Maimonides (1205-1237).
3833,Letter,,"Letter concerning a reconciliation, presumably between husband (Maḥfūẓ al-Qudsī) and wife. Signed by the judge Avraham b. Natan Av Bet Din (in New Cairo, dated documents 1098–1114). On verso and continuing on recto there are biblical quotations. (Information in part from Oded Zinger's forthcoming edition.)"
3834,Letter,,Fragmentary letter mentioning several names and a parnas.
3835,Letter,,"Letter fragment to a brother conveying good wishes. The addressee is apparently an accomplished cantor and had studied with a notable and ""his brother the late Nagid."" He is asked to provide coaching for an aspiring cantor Zākī, who must go to the synagogue every Saturday and on feast days. (Information in part from Mediterranean Society, II, p. 36.)"
3836,Letter,draft,"Letter draft in Hebrew, opening with the report of the writer that he had expedited the collection of the monies pledged for the poor on the Sunday following Purim."
3837,Letter,,"Letter from Avraham b. Hillel, beginning with a biblical quotation (Shemuel I, 25:6), containing congratulations on the occasion of the opening of a perfume shop and mentioning that the sender has received a letter from Moshe ha-Kohen who is in good health. (Information from Goitein's index cards)"
3838,Letter,,"Letter in Hebrew to two men, one of whom is called Abu al-Ḥasan."
3839,Letter,,"Beginning or address of a letter in Hebrew to two people, one of whom is Shabbetay the cantor."
3840,Letter,personal,"Letter to Yefet b. Sason (aka Ḥasan b. Surūr) who is described as 'the Modest' (הצנוע). Mainly in Judaeo-Arabic, with the introductory blessings in Hebrew and the address in Arabic script. The sender has a son named Eliʿezer. Mentions the addressee's meeting with a Nasi (""the scion of the tribe of Davidites""). Ends with greetings to several persons (including Abū l-Surūr, Abū Saʿīd and his children, and Abū l-Faḍl ʿAlī b. Bunyām.). The sender complains about the duty of fundraising for the orphans. Same sender and addressee: T-S 8J38.6 (PGPID 3840) and BL OR 5542.33 (PGPID 6227)."
3841,Letter,personal,Personal letter from Yehuda b. Ya'qub (Yehuda b. Yaʿaqov) to Abu 'Imran in very poor spelling.
3842,Letter,"captives, Ghuzz, ransom","Letter of appeal for assistance. In Hebrew and Judaeo-Arabic. Addressed to the elder Sāʿid (sic, probably intending Ṣāʿid = the parnas ʿUlla b. Yosef ha-Levi, whose name appears on verso numerous times as a pen trial). Dating: ca. late 11th century. The sender reports that his ""family, women, and children"" are in the hand of the Ghuzz, and he needs help redeeming them. (Information in part from Goitein's index card.)"
3843,Letter,bialphabetic,"Letter from Natan b. Mevorakh ha-Kohen, in Ashqelon, to the parnas ʿAllūn b. Yaʿīsh. Written in both Arabic script and Judaeo-Arabic. Contains a request to intercede on behalf of two men with the exilarch David b. Daniel (ca. 1082–94), and to convey their acknowledgements and thanks for his favors. (Information in part from Cohen, Jewish Self-Government, pp. 207, 321.)

NB: A previous description indicated that this letter is written in the top margin of an earlier letter in Arabic script, all of which is now lost except for the basmala and part of the address in the top right corner, referring to al-firnās al-jalīl. However, it is more likely that everything here belongs to a single letter, and the part that was understood to be the 'address' is actually the end of the first line of the letter."
3844,Letter,,"Long letter from Yosef b. Moshe to Peraḥya. The sender has traveled to Minyat Zifta. He gives instructions to his wife concerning her attire and other issues. Mentions Yosef, Umm Najīb and Sitt Ḍiyāʾ. (Information from CUDL and Goitein's index card.)"
3845,Legal document,"Marriage, testimony",Hebrew court testimony by Yehoshuaʿ b. Mansur saying that his wife has no debts to him.
3846,Legal document,testimony,"Recto: Fragment of a letter in Judaeo-Arabic

Verso: Upper part of a legal testimony. Dated: Sunday, [..] Iyyar 1535 Seleucid = April/May 1224 CE, under the authority of Avraham Maimonides. Handwriting of Shelomo b. Eliyyahu?"
3847,Letter,"illness: marad, illness letter 969-1517, illness: fever, illness: recovered, Illness, illness: screaming","Letter from Yaʿaqov to his father. In Judaeo-Arabic. The writer had not received a letter from the addressee for some time (arjū shughl khayr). It seems he heard bad news about the addressee from the ghulām of [...] and was very worried. Someone else came down with a terrible illness (maraḍa maraḍ shadīd), but he is now in good health. This person cried out (yastaghīth) ""sīdi, sīdi!"" all day long. The writer mentions Abū l-Ḥasan ʿAllān. A third person was sick for 20 days with a fever, but he too is better now. It appears that the father began his response on verso. ASE."
3848,Letter,,Fragment of a letter mentioning proudly the writer's son and reporting the affairs of two men (perhaps brothers or traveling companions).
3849,Letter,,"Fragment of a mercantile letter in Judaeo-Arabic. Dating: 11th or possibly 12th century. Informing the addressee about the arrival of the sender's uncle at Fustat from Alexandria, to whom the recipient should deliver cash on the writer's account. On verso there is a faint remnant of an address (mentioning the names Hillel and/or Shemuel?) and a line of accounts, probably in the hand of the addressee. (Information in part from Goitein's index cards)"
3850,Letter,"trade, material culture, glass",Letter fragment from Yosef to Abū l-Faḍl b. ʿAmrīṣ. In Judaeo-Arabic. Containing remarks about business transactions including the delivery of a consignment of glass. [ʿAmrīṣ is not a name; this probably reads Abū l-Faḍl b. ʿImrān.]
3851,Letter,,"Damaged letter in Hebrew and Judaeo-Arabic. Addressed 'to our Nagid' (Gotein suggests Mevorakh b. Saʿadya) according to the internal address, but ""from Fustat to the land of Edom (i.e. the Byzantine empire)"" according to the address on verso. Opens with blessings against misfortunes including captivity or famine. Goitein suggests that this is an allusion to Crusader persecutions there. (Information in part from Goitein's index cards)"
3852,Letter,,"Letter fragment. In Judaeo-Arabic. Dating: Probably no earlier than 14th century. The letter consists essentially entirely of formulaic phrases, and it may even be a formulary or draft based on the appearance of ""fulān"" twice at the bottom of verso. However, Abū l-ʿAlā' is greeted in the margin of verso."
3853,Letter,,"Letter from Barhun b. Musa, in Alexandria, to his father in Fustat. Dated ca. 1055."
3854,Letter,,"Letter from Mūsā b. Yaʿqūb, in an unknown location, to Abū l-Surūr Isḥāq b. Barhūn, it seems in Alexandria, mentioning the arrival of the recipient (or another 'shaykh') and a 'young man' (slave, freedman or employee). Much of the letter has to do with instructions for when the ghulām arrives, and urging someone named Hilāl to assist him. There is a mention of wheat in the context of food that belongs to the government. The writer is preoccupied on behalf of Abū Ibrāhīm who encountered difficulties while traveling to Rashīd. Ismāʿīl is mentioned several times. The writer has enclosed another important letter, to a certain family (al-Faṭṭūma?), from their agent ʿAbd al-Raḥmān, and he asks the recipient to ensure that it reaches its target. (Information in part from Goitein's index card.) Join: Alan Elbaum."
3855,Letter,,Long fragment of a letter mentioning dignitaries and members of the Yeshiva.
3856,Letter,,"Fragment of a letter referring to a transaction involving a house, mentioning a Christian and commenting on the situation of an acquaintance. On verso there is piyyuṭ."
3857,Letter,"excommunication, 14th c, Yehoshua Maimonides","Fragmentary letter from the office of Yehoshua Maimonides to a certain Avraham, concerning the affairs of a man, his wife, and a young boy, and mentioning issues of habitation and an excommunication. See discussion in Goitein, ""The Twilight of the House of Maimonides,"" Tarbiz 54 (1984), 96–97."
3858,Letter,trade,"Letter from Yusuf b. Ḥalfon in Damsis to Abu Nasr Da'ud b. Nahum in Fustat, mentioning business with the prominent merchant Abu Zikri. Dated to the first half of the 12th century. (Information from Gil, and Goitein's index cards)"
